"Topic","Source","SourceRev","SourcePermaID","Relationship","RelationshipRev","RelationshipPermaID","Destination","DestinationRev","DestinationPermaID","Notes","HappinessIndex","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Relationships.Relationship0","TaxonProfile/Definitions.AntsDCFamily_Development","2","3dd2d15e97e864dd36cfe3edce766556","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_Eggs","2","3d67601bec44976f5caa81fa768baa75"," New relationship created by Main.PaulAlexander "," 1 ","BaseUserMapping_333","1295834020","BaseUserMapping_333","1304790604","2","","2bbc9879453b56f566ec9940ddfa2a83"
"TaxonProfile/Relationships.Relationship1","TaxonProfile/Definitions.AntsDCFamily_Name","2","e87d113401f45a7de5b9f0e30b4081d6","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_AcceptedTaxonName","6","c95a09d34b034386ef48e82530778aa4"," "," 1 ","BaseUserMapping_333","1295834020","BaseUserMapping_333","1304790604","2","","b2dfdde2baee4f133b1cd43e3906cdac"
"TaxonProfile/Relationships.Relationship10","TaxonProfile/Definitions.AntsDC_Name","1","e05fe631de585c6ad75da12ebafac130","SKOS_ExactMatch","1","618a708e84e458a62e1d4204a1260a65","TaxonProfile/Definitions.WC_Binomial","5","66f746a46b09565e305a1480a4ced491"," "," 5 ","BaseUserMapping_333","1295834021","BaseUserMapping_333","1304790604","2","","32b3d55d10a934e568c0fe41c081c142"
"TaxonProfile/Relationships.Relationship100","TaxonProfile/Definitions.BirdsA_Voice","4","8aa2a22d53790b9074b028521af15d80","SKOS_CloseMatch","1","46c4d40afd769b2d8413218bcdd62f8e","TaxonProfile/Definitions.WC_Vocalizations","2","06f9f0670c72ec998cbc3980fae98ba8"," "," 1 ","BaseUserMapping_333","1295834030","BaseUserMapping_333","1304790604","2","","5a254fead87486c3a388047ded399ed0"
"TaxonProfile/Relationships.Relationship1000","TaxonProfile/Definitions.NZLizards_ConservationAndResearch","2","66c1b897c4d187d655821ad43146d746","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Conservation","3","095f9c1598b85194b1832dfb93cfdc0b","","0","PaulAlexander","1298867217","PaulAlexander","1337226516","2","Relationships","839356980dc3ce53dc0edeeeae27a582"
"TaxonProfile/Relationships.Relationship1001","TaxonProfile/Definitions.NZLizards_Conservation","2","efb2a5807b834ca5c2595d0039300cb9","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Conservation","3","095f9c1598b85194b1832dfb93cfdc0b","","","PaulAlexander","1298867564","PaulAlexander","1298867564","1","Relationships","2240455aa6df8232a312809e4528f84a"
"TaxonProfile/Relationships.Relationship1002","TaxonProfile/Definitions.NZLizards_Authors","3","f215281cd0ab7fa7be1671151a94ab74","SKOS_CloseMatch","10","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_TaxonAuthor","5","269c5d11564287bd914295b7bd72f406","","","PaulAlexander","1298867640","PaulAlexander","1306714099","2","Relationships","02fdb03fe97f3debbf8503c6e4174226"
"TaxonProfile/Relationships.Relationship1003","TaxonProfile/Definitions.NZLizards_Administration","2","8c1b3d5079a1d5d45dadcb7c723a5b76","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Management","3","6af90014586e76faf91ecd5220c49330","","","PaulAlexander","1298867690","PaulAlexander","1298867690","1","Relationships","9d4edcf8b1119c893bb19087730393ea"
"TaxonProfile/Relationships.Relationship1004","TaxonProfile/Definitions.NZAC_ScientificName","1","2d552a8f9c1fed7e3d1a10cc93ea27d0","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_TaxonNameAuthorYear","7","1a986b00a1b65658caf8dc4b3d6d17ae","","","PaulAlexander","1298867892","PaulAlexander","1298867892","1","Relationships","06ae4d3fa6df226f5f658cc88bd9a17f"
"TaxonProfile/Relationships.Relationship1005","TaxonProfile/Definitions.NZAC_Recognition","1","7df103d7df09f523ed39e259d7d89ecb","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_Identification","13","c8357511d7e2708856661f964f9972ba","","","PaulAlexander","1298867989","PaulAlexander","1298867989","1","Relationships","b3bbfd6877b2962b029b9dc268e42ab6"
"TaxonProfile/Relationships.Relationship1006","TaxonProfile/Definitions.NZAC_NaturalEnemies","1","824928e18d10b027038fa65373437e2f","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Predators","1","ff44908c18b9df9d8d176febdcf5a942","","","PaulAlexander","1298868126","PaulAlexander","1298868126","1","Relationships","8ea4e858e068b74397e81a436d55c30b"
"TaxonProfile/Relationships.Relationship1007","TaxonProfile/Definitions.NZAC_LifeStagesAndAnnualCycle","1","181b0f2bc3c0dd7ff46d9c76cde30eb5","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_LifeStages","2","4c7f2f6256423626abce6acab0bd435f","","","PaulAlexander","1298868249","PaulAlexander","1298868249","1","Relationships","be4ce484324a2656f135364d81adb029"
"TaxonProfile/Relationships.Relationship1008","TaxonProfile/Definitions.NZAC_Image","2","8c3617b5b1e7df78f7ee4751ca98fb67","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Image","14","e9c53d6a38e718339b054df22435340c","","","PaulAlexander","1298868380","PaulAlexander","1298868380","1","Relationships","cc665a60ba3af0be501512242b3a6c28"
"TaxonProfile/Relationships.Relationship1009","TaxonProfile/Definitions.NZAC_HostPlants","1","2e10fa74c0d74e3b6b03f483a2da6446","SKOS_CloseMatch","8","ec9ddff2d3292fde39748fc6d246c167","TaxonProfile/Definitions.WC_AssociatedTaxa","1","e04818fd028fb9bbabe81df059db044c","","","PaulAlexander","1298868445","PaulAlexander","1298868445","1","Relationships","ca61dc3999cf29e56dd878f8e7fb5b00"
"TaxonProfile/Relationships.Relationship101","TaxonProfile/Definitions.Birds_AgonisticBehaviour","6","ff8b1718aeaae945979bc2f71ce0f8ef","SKOS_CloseMatch","1","46c4d40afd769b2d8413218bcdd62f8e","TaxonProfile/Definitions.WC_Behaviour","12","54dc18a08c200c333326a4575dfa63ee"," Changed from SKOS:ExactMatch WC:Description when WC:Description changed definition "," 1 ","BaseUserMapping_333","1295834030","BaseUserMapping_333","1304790605","2","","4aaeda673fd66721182c8b6049d7f812"
"TaxonProfile/Relationships.Relationship1010","TaxonProfile/Definitions.NZAC_Epithet","1","ca343f2ada2108a3b60e3e83df9568d2","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Epithet","3","96322d6af280af000832d3690cd5f1d8","","","PaulAlexander","1298868509","PaulAlexander","1298868509","1","Relationships","dda08b58a51037c627cfd8097cc9f07d"
"TaxonProfile/Relationships.Relationship1011","TaxonProfile/Definitions.NZAC_Control","1","88469a49ab56d9adb8eac94b0a5a370b","SKOS_ExactMatch","7","3b8646991c4473debf87fd0073ee1075","TaxonProfile/Definitions.WC_Control","1","57a8063d9c79dbc5ab95d3dbf08855cf","","","PaulAlexander","1298868655","PaulAlexander","1298868655","1","Relationships","b7eb16bd2476ab1117b836e7b71a1d68"
