"Topic","ExportAs","Definition","IntentandUsage","Example","Source","Considered","Notes","Namespace","Type","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Builder.Comment","rdfs:comment","rdfs:comment is an instance of rdf:Property that may be used to provide a human-readable description of a resource.","A textual comment helps clarify the meaning of this term","","","","","","","PaulAlexander","1273216881","BaseUserMapping_333","1304789925","4","AttributeForm","b8353c0b91e391f3d3f9dbbcdf78c1bc"
"TaxonProfile/Builder.Contributor","dc:contributor","An entity responsible for making contributions to the resource.","","","http://dublincore.org/documents/dcmi-terms/#elements-contributor","","","","","PaulAlexander","1269821710","BaseUserMapping_333","1304789925","6","TermAttributeForm","259b7c17e8fde8503dd07dffb0b18dfb"
"TaxonProfile/Builder.Coverage","dc:Coverage","The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant.","","","http://dublincore.org/documents/dcmi-terms/#elements-coverage","dcterms:coverage restricts the range to LocationPeriodOrJurisdiction. dc:Coverage is from the DC:Elements namespace and does have this restriction on the range..","","","","PaulAlexander","1273217285","BaseUserMapping_333","1304789926","5","TermAttributeForm","1866212b7b57800ffa584daa871f0719"
"TaxonProfile/Builder.Creator","dc:creator"," An entity primarily responsible for making the resource.","","","http://dublincore.org/documents/dcmi-terms/#elements-creator","dcterms:creator was considered restrictive based on its range of [[http://dublincore.org/documents/dcmi-terms/#classes-Agent][Agent]], so the less restrictive Dublin Core Element was chosen.\r\ndcTerms:publisher in some circumstances could be considered to have a role in distribution of a resource, but we don't need it in the context of defining a term. dc:Creator better suits the purpose of proving ownership. ","","","","PaulAlexander","1269821496","BaseUserMapping_333","1304789933","7","TermAttributeForm","0d414ddfd4b3519930c92a0713cff287"
"TaxonProfile/Builder.DateCreated","dcterms:issued","Date of formal issuance (e.g., publication) of the resource.","The date the term was made available for use","","http://dublincore.org/documents/dcmi-terms/#terms-issued","[[http://dublincore.org/documents/dcmi-terms/#terms-created][dcterms:Created]], [[http://dublincore.org/documents/dcmi-terms/#terms-date][dcterms:date]]","","","","PaulAlexander","1269821862","BaseUserMapping_333","1304789934","8","TermAttributeForm","7880335e122aa3da2099bbedeab2f600"
"TaxonProfile/Builder.DefinedBy","rdfs:isDefinedBy","rdfs:isDefinedBy is an instance of rdf:Property that is used to indicate a resource defining the subject resource. ","","","http://www.w3.org/TR/rdf-schema/#ch_isdefinedby","dcTerms:identifier is an unambiguous reference to the resource within a given context. which serves a similar purpose to a definition but rdfs:isDefinedBy is more intelligible.","","","","PaulAlexander","1273217044","BaseUserMapping_333","1304789934","6","TermAttributeForm","ab985fb449a149d4434d401891be5a53"
"TaxonProfile/Builder.Definition","SKOS:Definition","A representation of a concept by a descriptive statement which serves to differentiate it from related concepts","Used to provide a plain text definition for a resource ","   * The concept expressed by the data definition shall be expressed in the singular. (An exception is made if the concept itself is plural.)   * state what the concept is, not only what it is not   * be stated as a descriptive phrase or sentence(s) (in most languages)   * contain only commonly understood abbreviations   * be expressed without embedding definitions of other data or underlying concepts.","http://www.w3.org/TR/skos-reference/#definition","[[http://dublincore.org/documents/dcmi-terms/#terms-description][dcTerms:Description]].","*ISO 11179 part 4: Formulation of data definition* provides guidance on how to develop unambiguous data definitions. A number of specific rules and guidelines are presented in ISO/IEC 11179-4 that specify exactly how a data definition should be formed. A precise, well-formed definition is one of the most critical requirements for shared understanding of an administered item; well-formed definitions are imperative for the exchange of information. Only if every user has a common and exact understanding of the data item can it be exchanged trouble-free. Source: [[http://metadata-standards.org/11179/#A4]]\r\n[[http://standards.iso.org/ittf/PubliclyAvailableStandards/c035346_ISO_IEC_11179-4_2004(E).zip][ISO 11179 part 4 Edition 2]] Edition 3 of ISO11179-4 on hold\r\n*ISO 704 Terminology work - Principles and methods* Definitions shall follow the rules outlined for intentional definitions in ISO 704 unless otherwise indicated:\r\n   * They should consist of a single sentence fragment;\r\n   * They should begin with the superordinate concept, either immediately above or at a higher level of the data category concept being defined;\r\n   * They should list critical and delimiting characteristic(s) that distinguish the concept from other related concepts.\r\n   * Note: Actual concept systems, such as are implied here by the reference to broader and related concepts, should be modeled in Relation Registries outside the DCR. Furthermore, different domains and communities of practice may differ in their choice of the immediate broader concept, depending upon any given ontological perspective. Harmonized definitions for shared DCs should attempt to choose generic references insofar as possible. Source: [[http://www.isocat.org/manual/DCRGuidelines.pdf]]","","","PaulAlexander","1253685003","BaseUserMapping_333","1304789935","16","TermAttributeForm","2c07c199a9fec165ec897f8b6a25acec"
"TaxonProfile/Builder.DisambiguatedLabel","WC:DisambiguatedLabel","A clarification of the term, to be used in development of the of Wallace Core. ","","EremophilaTerm:Label:Synopsis <span class=","","Should reconsider SKOS:PrefLabel 2011-02-10 Main.PaulAlexander","[[TaxonProfile/Definitions/Ere_Synopsis][Eremophila:synopsis]]","","","PaulAlexander","1282104891","BaseUserMapping_333","1304789935","4","TermAttributesOverview","9b41a0f1398152c5987761aba030e004"
"TaxonProfile/Builder.Domain","Domain","set of permissible values","rdfs:domain is an instance of rdf:Property that is used to state that any resource that has a given property is an instance of one or more classes.","","","TermGroup","*Value Domain*\r\nset of permissible values\r\nNOTE 1 The value domain provides representation, but has no implication as to what data element concept the values\r\nmay be associated with nor what the values mean.\r\nNOTE 2 The permissible values may either be enumerated or expressed via a description. Source: [[http://standards.iso.org/ittf/PubliclyAvailableStandards/c035346_ISO_IEC_11179-4_2004(E).zip][ISO 11179-4 3.12 Value Domain]] compare with Range","","","PaulAlexander","1274253939","BaseUserMapping_333","1304789936","5","TermAttributeForm","1f31a5c50eaecfcf54d471c0491c0146"
"TaxonProfile/Builder.Equivalent","OWL:EquivalentClass, OwlEquivalentProperty","The two terms in an Equivalent relationship have the same set of individuals.","","<owl:Class rdf:about=""#US_President"">\r\n  <equivalentClass rdf:resource=""#PrincipalResidentOfWhiteHouse""/>\r\n</owl:Class>","http://www.w3.org/TR/owl-ref/#equivalentClass-def","","The use of owl:equivalentClass does not imply class equality. Class equality means that the classes have the same intensional meaning (denote the same concept). In the example above, the concept of ""President of the US"" is related to, but not equal to the concept of the principal resident of a certain estate. Real class equality can only be expressed with the owl:sameAs construct. As this requires treating classes as individuals, class equality can only be expressed in OWL Full. ","OWL","","PaulAlexander","1323990461","PaulAlexander","1323990461","1","","7ab5db7633836c6d32d7daa3e354f483"
