"Topic","Label","DisambiguatedLabel","Definition","OriginalDefinition","Comment","Namespace","TermBasis","TermGroup","HappinessIndex","SeeAlso","Example","DateCreated","LastModified","Type","PreviousVersion","Contributor","Creator","Coverage","Domain","Range","FieldType","FieldSize","FieldValue","FieldTooltip","FieldAttributes","SameAs","Equivalent","META:CREATEINFO.author","META:CREATEINFO.date","info.author","info.date","info.version","parent.name","preferences[name='PERM_ID_MD5'].value"
"TaxonProfile/Definitions.APII_Contains","Contains","","The part of the taxon that is shown in the image. ","","This field doesn't exist in !IBIS !APII database a single column, but rather a separate column for every checkbox possibility (legal values: 'Y' or blank). Added as a single field here for the sake of convenient(er) wiki display","APII","","ProfileMetadata","1","","","","","","","","","","","","checkbox","","FLOWER,BUD,FRUIT,BARK,LEAVES,SEED,ROOT,CLOSE_UP,PART_PLANT,WHOLE_PLANT,CONTAINER_PLANT,TREE,GAMETOPHYTE,SPOROPHYTE,SPORE,SPORANGIA,THALLUS,FRUITING_BODY,HABITAT","","","","","PaulHarvey","1296780666","BaseUserMapping_333","1304790016","3","APII","83c0b5f34de41b19bf4b672cfcae45bf"
"TaxonProfile/Definitions.APII_CopyrightDetail","Copyright detail","","","The details of the copyright.","","APII","","Unplaced","","","","","","","","","","","","","richtext","","","","","","","PaulHarvey","1296780180","BaseUserMapping_333","1304790022","3","APII","4bbe25d7fe9959539e7777e95aa396c2"
"TaxonProfile/Definitions.APII_CopyrightHeldBy","Copyright Held By","","","Who holds the copyright for this image.","","APII","","Unplaced","","","","","","","","","","","","","select","","Photographer, ANBG, Other","","","","","PaulHarvey","1296780153","BaseUserMapping_333","1304790022","3","APII","95596cbe3cd76ce7f9b69260eb347a16"
"TaxonProfile/Definitions.APII_CountryName","Country name","","","Country the image was taken.","","APII","","Unplaced","","","Australia","","","","","","","","","","text","30","","","","","","PaulHarvey","1296780752","BaseUserMapping_333","1304790023","3","APII","1859eb34242e7394dcbb90c795e5f9ae"
"TaxonProfile/Definitions.APII_CreateDate","Create date","","","When the record was first created.","","APII","","Unplaced","","","","","","","","","","","","","dynamiclabel","","
Search: &#34;1","","","","","PaulHarvey","1296781348","BaseUserMapping_333","1304790023","3","APII","2cc6148e00757134aca4882288887fbb"
"TaxonProfile/Definitions.APII_CreatedBy","Created by","","","Who initially created the photo record.","","APII","","Unplaced","","","","","","","","","","","","","dynamiclabel","","
Search: &#34;1","","","","","PaulHarvey","1296781285","BaseUserMapping_333","1304790024","3","APII","f848f7319f61ba3be774abd389c806d9"
"TaxonProfile/Definitions.APII_Creator","Creator","","","Name of the photographer/s or creator of the artwork, preferably in Surname, Initials format.","","APII","","Unplaced","","","Smith, J.D.","","","","","","","","","","text","35","","","","","","PaulHarvey","1296780109","BaseUserMapping_333","1304790024","3","APII","ec21e9c11bfea182be0b0e83026172a5"
"TaxonProfile/Definitions.APII_CreatorRef","Creator Ref","","","A reference or caption supplied on the photo by the photographer. This usually is a cross reference to their filing system.","","APII","","Unplaced","","","K923","","","","","","","","","","text","30","","","","","","PaulHarvey","1296780088","BaseUserMapping_333","1304790024","3","APII","f21e86b737225210f7d3ab71da9eb314"
"TaxonProfile/Definitions.APII_DateTaken","Date taken","","","Date taken or approximate date of the picture within the image.","","APII","","Unplaced","","","CCYYMMDD or\r\n~CCYY etc.","","","","","","","","","","date","20","","","","","","PaulHarvey","1296780051","BaseUserMapping_333","1304790025","3","APII","579df4ebaf462c41b178e9733c9e9397"
"TaxonProfile/Definitions.APII_DigitisationReqd","Digitisation Required","","","Indicates whether this image requires digitisation and what batch it will be included in.","","APII","","Unplaced","","","Fungi 05, Acacia1 etc.","","","","","","","","","","text","10","","","","","","PaulHarvey","1296781101","BaseUserMapping_333","1304790025","3","APII","9b5e469ee155b03a337ca026b6851f17"
"TaxonProfile/Definitions.APII_Donor","Donor","","","The name of the person or organisation who donated this image to ANBG.","","APII","","Unplaced","","","","","","","","","","","","","text","60","","","","","","PaulHarvey","1296780250","BaseUserMapping_333","1304790026","3","APII","cbf97efc693bc5665d888e1bdf84a4d8"
"TaxonProfile/Definitions.APII_HabitatDesc","Habitat desc","","","Image shows the plant body of algae, fungi","","APII","","Unplaced","","","","","","","","","","","","","richtext","","","","","","","PaulHarvey","1296780593","BaseUserMapping_333","1304790026","3","APII","037d55461a31d9d79ca1752fc271887b"
